show_id,type,title,date_added,release_year,rating,duration
s309,TV Show,Dinosaurs,29-Jan-21,1991,TV-PG,4 Seasons
s310,Movie,Texas Storm Squad,29-Jan-21,2020,TV-14,44 min
s311,TV Show,Pixar Popcorn,22-Jan-21,2021,TV-PG,1 Season
s312,Movie,Wild Uganda,22-Jan-21,2018,TV-PG,45 min
s313,TV Show,Elena of Avalor,15-Jan-21,2015,TV-Y7,3 Seasons
s314,Movie,Isle of Dogs,15-Jan-21,2018,PG-13,102 min
s315,Movie,Mary Poppins Returns,15-Jan-21,2018,PG,140 min
s316,TV Show,WandaVision,15-Jan-21,2021,TV-14,1 Season
s317,TV Show,Disney Fam Jam,8-Jan-21,2020,TV-G,1 Season
s318,Movie,Ferdinand,8-Jan-21,2017,PG,111 min
s319,TV Show,Marvel Studios LEGENDS,8-Jan-21,2021,TV-14,1 Season
s320,Movie,Toy Story: That Time Forgot,8-Jan-21,2014,TV-G,22 min
s321,Movie,700 Sharks,1-Jan-21,2018,TV-PG,45 min
s322,Movie,Big Sharks Rule,1-Jan-21,2018,TV-14,45 min
s323,Movie,Dr. Seuss' Horton Hears a Who!,1-Jan-21,2008,G,88 min
s324,Movie,Great Shark Chow Down,1-Jan-21,2019,TV-PG,45 min
s325,Movie,Mega Hammerhead,1-Jan-21,2016,TV-PG,43 min
s326,Movie,Burrow,25-Dec-20,2020,G,6 min
s327,TV Show,Cosmos: Possible Worlds,25-Dec-20,2020,TV-14,1 Season
s328,TV Show,Disney Gallery / Star Wars: The Mandalorian,25-Dec-20,2020,TV-PG,2 Seasons
s329,Movie,Max Keeble's Big Move,25-Dec-20,2001,PG,88 min
s330,Movie,Soul,25-Dec-20,2020,PG,107 min
s331,Movie,Arendelle Castle Yule Log,18-Dec-20,2020,TV-G,180 min
s332,Movie,Buried Truth of the Maya,18-Dec-20,2020,TV-PG,48 min
s333,TV Show,Disney Parks Sunrise Series,18-Dec-20,2021,TV-G,1 Season
s334,Movie,Dory's Reef Cam,18-Dec-20,2020,TV-G,182 min
s335,Movie,Into the Woods,18-Dec-20,2014,PG,126 min
s336,Movie,"Miraculous World: New York, United Heroez",18-Dec-20,2020,TV-Y7-FV,60 min
s337,TV Show,On Pointe,18-Dec-20,2020,TV-PG,1 Season
s338,TV Show,Wild Nordic,18-Dec-20,2019,TV-PG,1 Season
s339,Movie,Disney Channel's Epic Holiday Showdown,11-Dec-20,2020,TV-G,50 min
s340,Movie,Disney Holiday Magic Quest,11-Dec-20,2020,TV-G,46 min
s341,Movie,Gender Revolution: A Journey With Katie Couric,11-Dec-20,2017,TV-14,93 min
s342,Movie,High School Musical: The Musical: The Holiday Special,11-Dec-20,2020,TV-G,46 min
s343,Movie,Ralph Breaks the Internet,11-Dec-20,2018,PG,116 min
s344,Movie,Safety,11-Dec-20,2020,PG,123 min
s345,Movie,Anastasia,4-Dec-20,1997,G,95 min
s346,Movie,Godmothered,4-Dec-20,2020,PG,113 min
